valence,year,,,
0.0559,1936,,,
0.393,1936,,,
0.0842,1936,,,
0.481,1936,,,
0.101,1936,,,
0.364,1936,,,
0.296,1936,,,
0.235,1936,,,
0.338,1936,,,
0.349,1936,,,
0.326,1936,,,
0.127,1936,,,
0.259,1936,,,
0.382,1936,,,
0.185,1936,,,
0.13,1936,,,
0.486,1936,,,
0.218,1936,,,
0.537,1936,,,
0.138,1936,,,
0.234,1936,,,
0.254,1936,,,
0.0712,1936,,,
0.189,1936,,,
0.457,1936,,,
0.484,1936,,,
0.127,1936,,,
0.0705,1936,,,
0.284,1936,,,
0.216,1936,,,
0.321,1936,,,
0.51,1936,,,
0.398,1936,,,
0.237,1936,,,
0.428,1936,,,
0.044,1936,,,
0.774,1936,,,
0.339,1936,,,
0.411,1940,,,
0.93,1940,,,
0.602,1940,,,
0.476,1940,,,
0.69,1940,,,
0.542,1940,,,
0.918,1940,,,
0.308,1940,,,
0.724,1940,,,
0.71,1940,,,
0.625,1940,,,
0.891,1940,,,
0.899,1940,,,
0.477,1940,,,
0.901,1940,,,
0.456,1940,,,
0.0921,1940,,,
0.794,1940,,,
0.632,1940,,,
0.816,1940,,,
0.322,1940,,,
0.608,1940,,,
0.392,1940,,,
0.614,1940,,,
0.572,1940,,,
0.208,1940,,,
0.215,1940,,,
0.478,1940,,,
0.584,1940,,,
0.792,1940,,,
0.192,1940,,,
0.341,1940,,,
0.611,1940,,,
0.316,1940,,,
0.65,1940,,,
0.73,1940,,,
0.905,1940,,,
0.737,1940,,,
0.799,1940,,,
0.961,1940,,,
0.648,1940,,,
0.705,1940,,,
0.113,1940,,,
0.871,1940,,,
0.564,1940,,,
0.601,1940,,,
0.655,1940,,,
0.931,1940,,,
0.973,1940,,,
0.712,1940,,,
0.625,1940,,,
0.602,1940,,,
0.89,1940,,,
0.468,1940,,,
0.531,1940,,,
0.748,1940,,,
0.581,1940,,,
0.676,1940,,,
0.634,1940,,,
0.743,1940,,,
0.548,1940,,,
0.649,1940,,,
0.494,1940,,,
0.82,1940,,,
0.379,1940,,,
0.394,1940,,,
0.424,1940,,,
0.446,1940,,,
0.635,1940,,,
0.84,1940,,,
0.68,1940,,,
0.751,1940,,,
0.707,1940,,,
0.927,1940,,,
0.172,1940,,,
0.905,1940,,,
0.297,1940,,,
0.512,1940,,,
0.543,1940,,,
0.336,1940,,,
0.54,1940,,,
0.6,1940,,,
0.633,1940,,,
0.418,1940,,,
0.673,1940,,,
0.909,1940,,,
0.685,1940,,,
0.356,1940,,,
0.494,1940,,,
0.519,1940,,,
0.54,1940,,,
0.633,1940,,,
0.331,1940,,,
0.573,1940,,,
0.411,1940,,,
0.786,1940,,,
0.857,1940,,,
0.504,1940,,,
0.744,1940,,,
0.564,1940,,,
0.223,1942,,,
0.876,1942,,,
0.702,1942,,,
0.114,1942,,,
0.473,1942,,,
0.511,1942,,,
0.519,1942,,,
0.605,1942,,,
0.205,1942,,,
0.673,1942,,,
0.739,1942,,,
0.874,1942,,,
0.777,1942,,,
0.696,1942,,,
0.962,1942,,,
0.519,1942,,,
0.578,1942,,,
0.237,1942,,,
0.657,1942,,,
0.119,1942,,,
0.162,1942,,,
0.036,1942,,,
0.888,1942,,,
0.882,1942,,,
0.837,1942,,,
0.685,1942,,,
0.486,1942,,,
0.0412,1942,,,
0.261,1942,,,
0.623,1942,,,
0.194,1942,,,
0.411,1942,,,
0.62,1942,,,
0.452,1942,,,
0.721,1942,,,
0.551,1942,,,
0.0604,1942,,,
0.381,1942,,,
0.485,1942,,,
0.477,1942,,,
0.403,1942,,,
0.125,1942,,,
0.395,1942,,,
0.345,1942,,,
0.538,1942,,,
0.18,1942,,,
0.198,1942,,,
0.56,1942,,,
0.0554,1942,,,
